report_id,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,1100.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(249, 745, 329, 771)","+1,100"
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-4616.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(332, 745, 412, 771)","-4,616"
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,928.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(166, 773, 246, 799)",+928
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-1402.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(249, 773, 329, 799)","-1,402"
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,35.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(332, 773, 412, 799)",+35
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-13587.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(166, 830, 246, 856)","-13,587"
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,13660.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(249, 830, 329, 856)","+13,660"
03a4c78d-8c81-48ef-bdeb-a31a56bcbdce,2025-07-25,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,141.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-28.png:(332, 830, 412, 856)",+141
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,4753.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(166, 745, 246, 771)",+4753
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,4520.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(249, 745, 329, 771)",+4520
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-9975.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(332, 745, 412, 771)","-9,975"
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-154.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(166, 773, 246, 799)",-154
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-447.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(249, 773, 329, 799)",-447
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,33.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(332, 773, 412, 799)",+33
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-8755.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(166, 830, 246, 856)","-8,755"
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,8765.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(249, 830, 329, 856)","+8,765"
599c8d6f-8748-4df4-bc46-632f5b48349d,2025-07-28,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,16.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-29.png:(332, 830, 412, 856)",+16
aa7c281c-faea-42d0-a845-d980ca3a705c,2025-07-29,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,6054.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-30.png:(166, 745, 246, 771)","+6,054"
