png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,4703.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 858, 246, 884)","+4,703"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-3935.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 858, 329, 884)","-3,935"
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-567.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 858, 412, 884)",-567
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,8935.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 745, 246, 771)","+8,935"
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,994.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 745, 329, 771)",+994
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-10578.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 745, 412, 771)","-10,578"
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-191.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 773, 246, 799)",-191
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,112.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 773, 329, 799)",+112
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,100.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 773, 412, 799)",+100
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,2036.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 801, 246, 827)","+2,036"
